probe    C8 Avg	Control Avg
1766958_s_at	3.31863	3.39815
1764253_s_at	8.58209	7.99688
1759230_s_at	2.37958	2.38817
1767830_at	2.32850	2.33107
1766143_s_at	2.37510	2.37971
1760841_at	2.34544	2.35277
1765177_s_at	2.36943	2.38671
1759457_at	2.34869	2.35399
1762716_at	2.29107	2.29432
AFFX-Ec-AF292559-4_s_at	2.34220	2.34668
1768086_at	2.44172	2.39972
1764310_at	2.61888	2.42895
1765029_s_at	3.92454	3.87404
1765754_s_at	2.41415	2.41210
AFFX-Ec-AF323980-1_at	2.32166	2.32726
1762754_s_at	3.07447	2.73061
1767768_s_at	3.75398	3.88585
1769110_s_at	2.37147	2.38303
1762356_at	2.36252	2.36424
1763881_s_at	4.11246	3.48689
1762969_s_at	2.43978	2.47150
1767783_s_at	7.83573	7.39725
1764969_s_at	8.52622	8.47576
1765921_at	2.47117	2.47950
1766885_s_at	2.40792	2.41737
1765336_s_at	2.36906	2.37923
1763039_s_at	2.43253	2.43024
1764032_s_at	2.35292	2.35720
1765677_s_at	2.61274	2.43394
1767665_at	2.36313	2.36129
1766443_at	2.40066	2.40740
1768056_s_at	2.47278	2.53127
1764536_at	2.41064	2.43116
1766478_s_at	2.93895	3.05442
1764970_x_at	2.37067	2.37267
1767446_s_at	2.35620	2.34743
1760407_s_at	2.36759	2.37744
1763960_s_at	2.50187	2.50059
1759658_s_at	3.32156	3.39033
1760693_s_at	2.40479	2.41855
1761912_s_at	2.34852	2.34703
1764316_s_at	2.52168	2.57198
1763145_s_at	2.97769	2.98659
1768013_at	2.74837	2.86060
1766820_at	2.36446	2.37531
1765692_s_at	2.33706	2.33841
1763882_at	2.35604	2.36402
1768038_s_at	3.91515	3.46034
1768813_s_at	2.34781	2.36019
1768298_s_at	2.41184	2.47943
1765151_s_at	7.54935	7.69448
1765167_s_at	5.91066	5.74379
1763020_s_at	2.58409	2.78467
1762371_s_at	4.19768	4.28150
1759232_s_at	2.38436	2.39923
1765613_s_at	2.58417	2.59098
1760715_s_at	2.43567	2.37099
1768853_s_at	4.43639	4.90953
1766459_at	2.38026	2.39857
1762061_s_at	4.49615	4.14765
1768364_s_at	3.59727	4.12461
1767288_at	2.34807	2.35304
1766569_s_at	2.68828	2.66276
1764089_s_at	2.56973	2.53221
1760003_s_at	2.34481	2.35134
1760793_s_at	2.39440	2.38567
1767265_s_at	2.35036	2.41613
1759950_s_at	2.36939	2.37582
1765355_at	2.37206	2.37722
1760609_s_at	2.47865	2.48412
1759899_s_at	2.32906	2.32770
1761082_s_at	2.34668	2.35749
1768079_at	4.85506	4.50972
1760809_at	2.51000	2.51933
1766705_s_at	3.13101	3.56312
1766061_s_at	4.04581	3.27691
1768271_s_at	2.65051	2.72713
1763436_s_at	2.38205	2.42263
1764967_s_at	2.32524	2.32753
1760956_s_at	7.00175	6.25257
1761540_s_at	3.25385	2.92356
1768941_s_at	2.55986	2.54968
1760243_s_at	2.43960	2.44937
1763459_s_at	2.54969	2.55472
1764432_s_at	2.48803	2.49093
1766322_at	2.88900	3.13753
1760387_s_at	2.49814	2.51229
1768337_s_at	3.27201	3.10763
1764520_s_at	2.70191	2.75892
1763542_s_at	3.05829	2.97571
1768667_s_at	3.86835	4.21145
1760181_s_at	2.50289	2.64768
1767599_s_at	4.75914	4.77281
